observed_at,price_value
2016-09-27,1098.65000000
2016-09-28,1097.34000000
2016-09-29,1100.78000000
2016-09-30,1101.84000000
2016-10-03,1101.11000000
2016-10-04,1109.36000000
2016-10-05,1115.25000000
2016-10-06,1116.87000000
2016-10-07,1115.83000000
2016-10-10,1111.65000000
2016-10-11,1123.85000000
2016-10-12,1124.92000000
2016-10-13,1134.14000000
2016-10-14,1132.58000000
2016-10-17,1139.88000000
2016-10-18,1126.42000000
2016-10-19,1123.85000000
2016-10-20,1126.93000000
2016-10-21,1137.82000000
2016-10-24,1133.31000000
2016-10-25,1131.93000000
2016-10-26,1135.85000000
2016-10-27,1143.19000000
2016-10-28,1145.40000000
2016-10-31,1146.44000000
2016-11-01,1141.44000000
2016-11-02,1143.27000000
2016-11-03,1144.29000000
2016-11-04,1144.33000000
2016-11-07,1143.27000000
2016-11-08,1135.85000000
2016-11-09,1152.83000000
2016-11-10,1160.97000000
2016-11-11,1164.89000000
2016-11-14,1172.86000000
2016-11-15,1165.95000000
2016-11-16,1175.82000000
2016-11-17,1176.79000000
2016-11-18,1176.16000000
2016-11-21,1177.08000000
2016-11-22,1174.44000000
2016-11-23,1177.33000000
2016-11-24,1181.71000000
2016-11-25,1177.33000000
2016-11-28,1174.52000000
2016-11-29,1173.77000000
2016-11-30,1172.89000000
2016-12-01,1168.38000000
2016-12-02,1172.11000000
2016-12-05,1172.19000000
2016-12-06,1169.38000000
2016-12-07,1162.69000000
2016-12-08,1161.52000000
2016-12-09,1171.51000000
2016-12-12,1168.11000000
2016-12-13,1166.71000000
2016-12-14,1166.01000000
2016-12-15,1186.13000000
2016-12-16,1187.40000000
2016-12-19,1188.79000000
2016-12-20,1194.95000000
2016-12-21,1193.62000000
2016-12-22,1203.76000000
2016-12-23,1203.90000000
2016-12-27,1207.26000000
2016-12-28,1213.32000000
2016-12-29,1209.46000000
2016-12-30,1204.21000000
2017-01-02,1207.69000000
2017-01-03,1206.96000000
2017-01-04,1199.48000000
2017-01-05,1191.11000000
2017-01-06,1191.20000000
2017-01-09,1204.19000000
2017-01-10,1200.98000000
2017-01-11,1200.22000000
2017-01-12,1175.58000000
2017-01-13,1173.86000000
2017-01-16,1183.36000000
2017-01-17,1168.86000000
2017-01-18,1171.60000000
2017-01-19,1177.26000000
2017-01-20,1176.32000000
2017-01-23,1168.15000000
2017-01-24,1165.12000000
2017-01-25,1164.90000000
2017-01-26,1166.49000000
2017-01-27,1174.01000000
2017-01-30,1178.05000000
2017-01-31,1157.38000000
2017-02-01,1156.50000000
2017-02-02,1141.95000000
2017-02-03,1147.24000000
2017-02-06,1136.30000000
2017-02-07,1147.08000000
2017-02-08,1144.53000000
2017-02-09,1144.01000000
2017-02-10,1150.21000000
2017-02-13,1150.92000000
2017-02-14,1136.81000000
2017-02-15,1141.97000000
2017-02-16,1139.45000000
2017-02-17,1150.01000000
2017-02-20,1147.65000000
2017-02-21,1147.10000000
2017-02-22,1142.66000000
2017-02-23,1135.24000000
2017-02-24,1129.43000000
2017-02-27,1133.51000000
2017-02-28,1126.96000000
2017-03-01,1143.96000000
2017-03-02,1145.42000000
