observed_at,price_value
2017-02-03,1397911.94000000
2017-02-06,1397649.00000000
2017-02-07,1415726.07998808
2017-02-08,1416470.30006202
2017-02-09,1412966.72307472
2017-02-10,1419819.25207663
2017-02-13,1409186.47609396
2017-02-14,1391341.78674953
2017-02-15,1406564.39323760
2017-02-16,1412918.00000000
2017-02-17,1423252.34792826
2017-02-21,1419536.25000000
2017-02-22,1407757.12000000
2017-02-23,1419276.99256623
2017-02-24,1419580.59456939
2017-02-27,1425275.50166898
2017-02-28,1411630.06849091
2017-03-01,1428691.67192406
2017-03-02,1411042.92595970
2017-03-03,1413589.74000000
2017-03-06,1413587.29000000
2017-03-07,1396757.42194071
2017-03-08,1392542.46500000
2017-03-09,1393004.47627947
2017-03-10,1388261.29054227
2017-03-13,1379056.63599632
2017-03-14,1382076.85706930
2017-03-15,1375314.57202614
2017-03-16,1382657.98000000
2017-03-17,1389575.67117399
2017-03-20,1376278.14876674
2017-03-21,1393538.52470181
2017-03-22,1398866.25067593
2017-03-23,1395779.88732455
2017-03-24,1398221.10330112
2017-03-27,1392652.90907875
2017-03-28,1397726.39237025
2017-03-29,1394608.07116003
2017-03-30,1390378.65000000
2017-03-31,1393645.76355922
2017-04-03,1397443.84655483
2017-04-04,1411749.50000000
2017-04-05,1402756.31749420
2017-04-06,1414226.88823210
2017-04-07,1423442.41041473
2017-04-10,1428956.34811987
2017-04-11,1454290.88013702
2017-04-12,1454186.38667938
2017-04-13,1455175.90362333
2017-04-17,1459136.64362333
2017-04-18,1476529.29718292
2017-04-19,1460526.93382227
2017-04-20,1456597.35973659
2017-04-21,1462216.07372463
2017-04-24,1439765.87110563
2017-04-25,1427330.99647065
2017-04-26,1427308.86239473
2017-04-27,1433528.58760774
2017-04-28,1440657.17922459
2017-05-01,1426092.52656219
2017-05-02,1418551.64541109
2017-05-03,1410339.01962065
2017-05-04,1393144.55500000
2017-05-05,1398035.76773652
2017-05-08,1388277.20832488
2017-05-09,1381764.16856415
2017-05-10,1381489.47941619
2017-05-11,1379829.12189486
2017-05-12,1382822.47093294
2017-05-15,1372346.17273403
2017-05-16,1378902.20000000
2017-05-17,1408047.90000000
2017-05-18,1418063.39168000
2017-05-19,1402447.70333286
2017-05-22,1408466.59244664
2017-05-23,1410332.51488248
