observed_at,price_value
2016-08-02,1364.40002441
2016-08-03,1356.09997559
2016-08-04,1358.80004883
2016-08-05,1336.40002441
2016-08-08,1333.40002441
2016-08-09,1339.00000000
2016-08-10,1344.30004883
2016-08-11,1342.50000000
2016-08-12,1335.80004883
2016-08-15,1340.30004883
2016-08-16,1350.50000000
2016-08-17,1342.69995117
2016-08-18,1351.19995117
2016-08-19,1340.40002441
2016-08-22,1337.69995117
2016-08-23,1340.59997559
2016-08-24,1324.40002441
2016-08-25,1320.09997559
2016-08-26,1321.50000000
2016-08-29,1322.90002441
2016-08-30,1311.69995117
2016-08-31,1306.90002441
2016-09-01,1312.19995117
2016-09-02,1322.09997559
2016-09-06,1349.40002441
2016-09-07,1344.30004883
2016-09-08,1336.80004883
2016-09-09,1330.09997559
2016-09-12,1321.00000000
2016-09-13,1319.00000000
2016-09-14,1321.50000000
2016-09-15,1313.50000000
2016-09-16,1305.80004883
2016-09-19,1313.50000000
2016-09-20,1313.69995117
2016-09-21,1326.90002441
2016-09-22,1340.40002441
2016-09-23,1337.19995117
2016-09-26,1339.69995117
2016-09-27,1325.90002441
2016-09-28,1319.40002441
2016-09-29,1321.69995117
2016-09-30,1313.30004883
2016-10-03,1309.00000000
2016-10-04,1266.30004883
2016-10-05,1265.19995117
2016-10-06,1249.80004883
2016-10-07,1248.90002441
2016-10-11,1253.00000000
2016-10-12,1251.09997559
2016-10-13,1255.00000000
2016-10-14,1253.09997559
2016-10-17,1254.40002441
2016-10-18,1260.80004883
2016-10-19,1267.90002441
2016-10-20,1265.59997559
2016-10-21,1265.90002441
2016-10-24,1262.00000000
2016-10-25,1271.90002441
2016-10-26,1264.80004883
2016-10-27,1267.90002441
2016-10-28,1275.50000000
2016-10-31,1271.50000000
2016-11-01,1286.40002441
2016-11-02,1306.80004883
2016-11-03,1302.09997559
2016-11-04,1303.30004883
2016-11-07,1278.30004883
2016-11-08,1273.40002441
2016-11-09,1272.59997559
2016-11-10,1265.50000000
2016-11-14,1221.19995117
2016-11-15,1224.00000000
2016-11-16,1223.40002441
2016-11-17,1216.50000000
2016-11-18,1208.50000000
2016-11-21,1209.59997559
2016-11-22,1211.00000000
2016-11-23,1189.09997559
2016-11-25,1178.19995117
2016-11-28,1190.59997559
2016-11-29,1187.90002441
2016-11-30,1170.80004883
2016-12-01,1166.90002441
2016-12-02,1175.09997559
2016-12-05,1174.00000000
2016-12-06,1167.59997559
2016-12-07,1175.00000000
2016-12-08,1169.80004883
2016-12-09,1159.40002441
2016-12-12,1163.50000000
2016-12-13,1156.69995117
2016-12-14,1161.30004883
2016-12-15,1127.80004883
2016-12-16,1135.30004883
2016-12-19,1140.50000000
2016-12-20,1131.50000000
2016-12-21,1131.09997559
2016-12-22,1128.80004883
2016-12-23,1131.90002441
2016-12-27,1137.30004883
2016-12-28,1139.40002441
2016-12-29,1156.40002441
2016-12-30,1150.00000000
2017-01-03,1160.40002441
2017-01-04,1163.80004883
2017-01-05,1179.69995117
2017-01-06,1171.90002441
2017-01-09,1183.50000000
2017-01-10,1184.19995117
2017-01-11,1195.59997559
2017-01-12,1198.90002441
2017-01-13,1195.30004883
2017-01-17,1212.00000000
2017-01-18,1211.30004883
2017-01-19,1200.90002441
2017-01-20,1204.30004883
2017-01-23,1215.00000000
2017-01-24,1210.30004883
2017-01-25,1197.30004883
2017-01-26,1189.50000000
2017-01-27,1188.09997559
2017-01-30,1193.19995117
2017-01-31,1208.59997559
2017-02-01,1205.59997559
2017-02-02,1216.69995117
2017-02-03,1218.50000000
2017-02-06,1230.00000000
2017-02-07,1234.19995117
2017-02-08,1237.59997559
2017-02-09,1235.09997559
2017-02-10,1234.40002441
2017-02-13,1224.40002441
2017-02-14,1223.90002441
2017-02-15,1231.69995117
2017-02-16,1240.00000000
2017-02-17,1237.59997559
2017-02-21,1237.50000000
2017-02-22,1232.00000000
2017-02-23,1250.19995117
2017-02-24,1256.90002441
2017-02-27,1257.40002441
2017-02-28,1252.59997559
2017-03-01,1248.90002441
2017-03-02,1231.90002441
2017-03-03,1225.50000000
2017-03-06,1224.50000000
2017-03-07,1215.09997559
2017-03-08,1208.50000000
2017-03-09,1202.40002441
2017-03-10,1200.69995117
2017-03-13,1202.40002441
2017-03-14,1201.90002441
2017-03-15,1200.09997559
2017-03-16,1226.50000000
2017-03-17,1229.80004883
2017-03-20,1233.59997559
2017-03-21,1246.09997559
2017-03-22,1249.30004883
2017-03-23,1246.90002441
2017-03-24,1248.19995117
2017-03-27,1255.40002441
2017-03-28,1255.30004883
2017-03-29,1253.40002441
2017-03-30,1245.00000000
2017-03-31,1247.30004883
2017-04-03,1250.80004883
2017-04-04,1255.00000000
2017-04-05,1245.40002441
2017-04-06,1250.30004883
2017-04-07,1254.30004883
2017-04-10,1251.09997559
2017-04-11,1271.19995117
2017-04-12,1275.30004883
2017-04-13,1285.90002441
2017-04-17,1289.40002441
2017-04-18,1291.69995117
2017-04-19,1281.40002441
2017-04-20,1281.90002441
2017-04-21,1287.40002441
2017-04-24,1275.80004883
2017-04-25,1265.59997559
2017-04-26,1262.09997559
2017-04-27,1263.69995117
2017-04-28,1266.09997559
2017-05-01,1253.30004883
2017-05-02,1255.09997559
2017-05-03,1246.40002441
2017-05-04,1226.50000000
2017-05-05,1224.80004883
2017-05-08,1225.30004883
2017-05-09,1214.30004883
2017-05-10,1217.30004883
2017-05-11,1222.69995117
2017-05-12,1226.19995117
2017-05-15,1228.59997559
2017-05-16,1235.00000000
2017-05-17,1257.50000000
2017-05-18,1251.69995117
2017-05-19,1252.69995117
2017-05-22,1260.69995117
2017-05-23,1254.80004883
2017-05-24,1252.40002441
2017-05-25,1255.80004883
2017-05-26,1267.59997559
2017-05-30,1262.09997559
2017-05-31,1272.00000000
2017-06-01,1267.00000000
2017-06-02,1276.80004883
2017-06-05,1279.30004883
2017-06-06,1294.40002441
2017-06-07,1290.09997559
2017-06-08,1276.30004883
2017-06-09,1268.50000000
2017-06-12,1266.09997559
2017-06-13,1265.80004883
2017-06-14,1272.80004883
2017-06-15,1252.19995117
2017-06-16,1254.00000000
2017-06-19,1244.19995117
2017-06-20,1241.00000000
2017-06-21,1243.40002441
2017-06-22,1247.59997559
2017-06-23,1256.19995117
2017-06-26,1246.30004883
2017-06-27,1246.40002441
2017-06-28,1248.00000000
2017-06-29,1244.19995117
2017-06-30,1240.69995117
2017-07-03,1217.90002441
2017-07-05,1220.40002441
2017-07-06,1222.19995117
2017-07-07,1208.59997559
2017-07-10,1212.09997559
2017-07-11,1213.59997559
2017-07-12,1218.09997559
2017-07-13,1216.30004883
2017-07-14,1226.59997559
2017-07-17,1232.80004883
2017-07-18,1241.09997559
2017-07-19,1241.19995117
2017-07-20,1244.80004883
2017-07-21,1254.30004883
2017-07-24,1253.90002441
2017-07-25,1251.69995117
2017-07-26,1249.00000000
2017-07-27,1259.59997559
2017-07-28,1268.40002441
2017-07-31,1266.59997559
2017-08-01,1272.59997559
2017-08-02,1271.80004883
2017-08-03,1267.80004883
2017-08-04,1258.30004883
2017-08-07,1258.19995117
2017-08-08,1256.40002441
2017-08-09,1273.00000000
2017-08-10,1283.69995117
2017-08-11,1287.69995117
2017-08-14,1284.19995117
2017-08-15,1273.69995117
2017-08-16,1276.90002441
2017-08-17,1286.40002441
2017-08-18,1285.69995117
2017-08-21,1290.80004883
2017-08-22,1285.09997559
2017-08-23,1288.90002441
2017-08-24,1286.50000000
2017-08-25,1292.50000000
2017-08-28,1309.69995117
2017-08-29,1313.09997559
2017-08-30,1308.09997559
2017-08-31,1316.19995117
2017-09-01,1324.50000000
2017-09-05,1339.19995117
2017-09-06,1333.90002441
2017-09-07,1345.09997559
2017-09-08,1346.00000000
2017-09-11,1331.00000000
2017-09-12,1328.00000000
2017-09-13,1323.40002441
2017-09-14,1324.69995117
2017-09-15,1320.40002441
2017-09-18,1306.30004883
2017-09-19,1306.19995117
2017-09-20,1312.00000000
2017-09-21,1290.59997559
2017-09-22,1293.30004883
2017-09-25,1306.80004883
2017-09-26,1297.00000000
2017-09-27,1283.40002441
2017-09-28,1285.50000000
2017-09-29,1281.50000000
2017-10-02,1272.69995117
2017-10-03,1271.50000000
2017-10-04,1273.69995117
2017-10-05,1269.90002441
2017-10-06,1271.59997559
2017-10-09,1281.80004883
2017-10-10,1290.59997559
2017-10-11,1285.80004883
2017-10-12,1293.30004883
2017-10-13,1301.50000000
2017-10-16,1299.90002441
2017-10-17,1283.00000000
2017-10-18,1279.90002441
2017-10-19,1286.90002441
2017-10-20,1277.40002441
2017-10-23,1277.69995117
2017-10-24,1275.00000000
2017-10-25,1275.40002441
2017-10-26,1266.30004883
2017-10-27,1268.50000000
2017-10-30,1274.09997559
2017-10-31,1267.00000000
2017-11-01,1274.09997559
2017-11-02,1274.90002441
2017-11-03,1266.50000000
2017-11-06,1279.40002441
2017-11-07,1273.69995117
2017-11-08,1281.59997559
2017-11-09,1285.59997559
2017-11-10,1272.40002441
2017-11-13,1277.30004883
2017-11-14,1281.50000000
2017-11-15,1276.50000000
2017-11-16,1277.40002441
2017-11-17,1295.80004883
2017-11-20,1274.59997559
2017-11-21,1281.09997559
2017-11-22,1291.59997559
2017-11-24,1286.69995117
2017-11-27,1293.80004883
2017-11-28,1294.69995117
2017-11-29,1282.09997559
2017-11-30,1273.19995117
2017-12-01,1278.80004883
2017-12-04,1274.30004883
2017-12-05,1261.59997559
2017-12-06,1262.80004883
2017-12-07,1249.80004883
2017-12-08,1245.19995117
2017-12-11,1243.69995117
2017-12-12,1238.50000000
2017-12-13,1245.40002441
2017-12-14,1253.80004883
2017-12-15,1254.30004883
2017-12-18,1262.19995117
2017-12-19,1260.69995117
2017-12-20,1266.09997559
2017-12-21,1267.30004883
2017-12-22,1275.40002441
2017-12-26,1284.09997559
2017-12-27,1287.00000000
2017-12-28,1294.09997559
2017-12-29,1306.30004883
2018-01-02,1313.69995117
2018-01-03,1316.19995117
2018-01-04,1319.40002441
2018-01-05,1320.30004883
2018-01-08,1318.59997559
2018-01-09,1311.69995117
2018-01-10,1317.40002441
2018-01-11,1320.59997559
2018-01-12,1333.40002441
2018-01-16,1335.40002441
2018-01-17,1338.00000000
2018-01-18,1326.00000000
2018-01-19,1331.90002441
2018-01-22,1330.90002441
2018-01-23,1335.69995117
2018-01-24,1355.90002441
2018-01-25,1362.40002441
2018-01-26,1351.59997559
2018-01-30,1335.40002441
2018-01-31,1339.00000000
2018-02-01,1344.30004883
2018-02-02,1333.69995117
2018-02-05,1333.00000000
2018-02-06,1326.09997559
2018-02-07,1311.59997559
2018-02-08,1316.90002441
2018-02-09,1313.09997559
2018-02-12,1324.19995117
2018-02-13,1328.09997559
2018-02-14,1355.50000000
2018-02-15,1352.09997559
2018-02-16,1353.19995117
2018-02-20,1328.80004883
2018-02-21,1330.00000000
2018-02-22,1330.59997559
2018-02-23,1328.19995117
2018-02-26,1330.69995117
2018-02-27,1315.50000000
2018-02-28,1315.50000000
2018-03-01,1302.90002441
2018-03-02,1321.09997559
2018-03-05,1318.09997559
2018-03-06,1333.59997559
2018-03-07,1326.00000000
2018-03-08,1319.90002441
2018-03-09,1322.40002441
2018-03-12,1319.40002441
2018-03-13,1325.90002441
2018-03-14,1324.40002441
2018-03-15,1316.80004883
2018-03-16,1311.30004883
2018-03-19,1316.80004883
2018-03-20,1311.09997559
2018-03-21,1320.69995117
2018-03-22,1326.59997559
2018-03-23,1349.30004883
2018-03-26,1354.40002441
2018-03-27,1341.30004883
2018-03-28,1324.19995117
2018-03-29,1322.80004883
2018-04-02,1342.09997559
2018-04-03,1332.80004883
2018-04-04,1335.80004883
2018-04-05,1324.30004883
2018-04-06,1331.90002441
2018-04-09,1336.30004883
2018-04-10,1342.00000000
2018-04-11,1356.50000000
2018-04-12,1338.40002441
2018-04-13,1344.80004883
2018-04-16,1347.50000000
2018-04-17,1347.19995117
2018-04-18,1351.19995117
2018-04-19,1346.80004883
2018-04-20,1336.69995117
2018-04-23,1322.50000000
2018-04-24,1331.40002441
2018-04-25,1321.19995117
2018-04-26,1316.30004883
2018-04-27,1320.30004883
2018-04-30,1316.19995117
2018-05-01,1303.80004883
2018-05-02,1302.59997559
2018-05-03,1310.69995117
2018-05-04,1312.69995117
2018-05-07,1312.19995117
2018-05-08,1312.00000000
2018-05-09,1311.30004883
2018-05-10,1320.80004883
2018-05-11,1319.00000000
2018-05-14,1316.50000000
2018-05-15,1288.90002441
2018-05-16,1290.19995117
2018-05-17,1288.19995117
2018-05-18,1290.19995117
2018-05-21,1290.19995117
2018-05-22,1291.69995117
2018-05-23,1289.30004883
2018-05-24,1303.69995117
2018-05-25,1303.30004883
2018-05-29,1298.69995117
2018-05-30,1301.50000000
2018-05-31,1300.09997559
2018-06-01,1294.80004883
2018-06-04,1293.09997559
2018-06-05,1297.50000000
2018-06-06,1297.09997559
2018-06-07,1298.69995117
2018-06-08,1298.09997559
2018-06-11,1298.90002441
2018-06-12,1295.09997559
2018-06-13,1296.90002441
2018-06-14,1304.00000000
2018-06-15,1274.59997559
2018-06-18,1276.19995117
2018-06-19,1275.59997559
2018-06-20,1271.19995117
2018-06-21,1267.19995117
2018-06-22,1267.40002441
2018-06-25,1265.59997559
2018-06-26,1256.59997559
2018-06-27,1252.80004883
2018-06-28,1247.80004883
2018-06-29,1251.30004883
2018-07-02,1239.80004883
2018-07-03,1251.59997559
2018-07-05,1257.30004883
2018-07-06,1254.30004883
2018-07-09,1258.09997559
2018-07-10,1253.80004883
2018-07-11,1242.80004883
2018-07-12,1245.00000000
2018-07-13,1239.59997559
2018-07-16,1238.09997559
2018-07-17,1225.69995117
2018-07-18,1226.30004883
2018-07-19,1222.40002441
2018-07-20,1229.50000000
2018-07-23,1224.00000000
2018-07-24,1223.90002441
2018-07-25,1231.40002441
2018-07-26,1225.30004883
2018-07-27,1222.59997559
2018-07-30,1221.30004883
2018-07-31,1223.69995117
2018-08-01,1217.90002441
2018-08-02,1210.59997559
2018-08-03,1214.19995117
2018-08-06,1208.59997559
2018-08-07,1209.59997559
2018-08-08,1212.59997559
2018-08-09,1211.90002441
2018-08-10,1211.09997559
2018-08-13,1191.30004883
2018-08-14,1193.00000000
2018-08-15,1177.50000000
2018-08-16,1176.19995117
2018-08-17,1176.50000000
2018-08-20,1186.80004883
2018-08-21,1192.59997559
2018-08-22,1196.30004883
2018-08-23,1187.00000000
2018-08-24,1206.30004883
2018-08-27,1209.00000000
2018-08-28,1207.40002441
