instrument_code,observed_at,price_value
USD_KRW,2016-04-27,1149.72000000
EUR_KRW,2016-04-27,1299.53000000
JPY_KRW,2016-04-27,10.33090000
XAU_USD,2016-04-27,1249.19995117
XAU_KRW,2016-04-27,1436230.16785917
USD_KRW,2016-04-28,1140.64000000
EUR_KRW,2016-04-28,1295.54000000
JPY_KRW,2016-04-28,10.54660000
XAU_USD,2016-04-28,1265.50000000
XAU_KRW,2016-04-28,1443479.92000000
USD_KRW,2016-04-29,1141.39000000
EUR_KRW,2016-04-29,1301.53000000
JPY_KRW,2016-04-29,10.63860000
XAU_USD,2016-04-29,1289.19995117
XAU_KRW,2016-04-29,1471479.93226593
USD_KRW,2016-05-02,1137.95000000
EUR_KRW,2016-05-02,1307.85000000
JPY_KRW,2016-05-02,10.67890000
XAU_USD,2016-05-02,1294.69995117
XAU_KRW,2016-05-02,1473303.80943390
USD_KRW,2016-05-03,1144.22000000
EUR_KRW,2016-05-03,1323.75000000
JPY_KRW,2016-05-03,10.80350000
XAU_USD,2016-05-03,1290.69995117
XAU_KRW,2016-05-03,1476844.69812774
USD_KRW,2016-05-04,1163.09000000
EUR_KRW,2016-05-04,1338.14000000
JPY_KRW,2016-05-04,10.91290000
XAU_USD,2016-05-04,1273.30004883
XAU_KRW,2016-05-04,1480962.55379368
USD_KRW,2016-05-05,1166.14000000
EUR_KRW,2016-05-05,1333.95000000
JPY_KRW,2016-05-05,10.88850000
XAU_USD,2016-05-05,1271.40002441
XAU_KRW,2016-05-05,1482630.42446548
USD_KRW,2016-05-06,1172.35000000
EUR_KRW,2016-05-06,1339.64000000
JPY_KRW,2016-05-06,10.96000000
XAU_USD,2016-05-06,1292.90002441
XAU_KRW,2016-05-06,1515731.34361706
USD_KRW,2016-05-09,1173.64000000
EUR_KRW,2016-05-09,1337.36000000
JPY_KRW,2016-05-09,10.83850000
XAU_USD,2016-05-09,1265.59997559
XAU_KRW,2016-05-09,1485358.75535145
USD_KRW,2016-05-10,1173.62000000
EUR_KRW,2016-05-10,1334.99000000
JPY_KRW,2016-05-10,10.75560000
XAU_USD,2016-05-10,1263.90002441
XAU_KRW,2016-05-10,1483338.34664806
USD_KRW,2016-05-11,1168.19000000
EUR_KRW,2016-05-11,1332.79000000
JPY_KRW,2016-05-11,10.74050000
XAU_USD,2016-05-11,1274.59997559
XAU_KRW,2016-05-11,1488974.94548448
USD_KRW,2016-05-12,1169.17000000
EUR_KRW,2016-05-12,1331.57000000
JPY_KRW,2016-05-12,10.69530000
XAU_USD,2016-05-12,1270.30004883
XAU_KRW,2016-05-12,1485196.70809057
USD_KRW,2016-05-13,1172.81000000
EUR_KRW,2016-05-13,1330.91000000
JPY_KRW,2016-05-13,10.77140000
XAU_USD,2016-05-13,1271.90002441
XAU_KRW,2016-05-13,1491697.06762829
USD_KRW,2016-05-16,1179.71000000
EUR_KRW,2016-05-16,1335.90000000
JPY_KRW,2016-05-16,10.83720000
XAU_USD,2016-05-16,1273.40002441
XAU_KRW,2016-05-16,1502242.74279672
USD_KRW,2016-05-17,1176.59000000
EUR_KRW,2016-05-17,1331.66000000
JPY_KRW,2016-05-17,10.74530000
XAU_USD,2016-05-17,1276.19995117
XAU_KRW,2016-05-17,1501564.10054711
USD_KRW,2016-05-18,1188.32000000
EUR_KRW,2016-05-18,1340.31000000
JPY_KRW,2016-05-18,10.86330000
XAU_USD,2016-05-18,1273.69995117
XAU_KRW,2016-05-18,1513563.12597433
USD_KRW,2016-05-19,1190.94000000
EUR_KRW,2016-05-19,1333.50000000
JPY_KRW,2016-05-19,10.82650000
XAU_USD,2016-05-19,1254.19995117
XAU_KRW,2016-05-19,1493676.88984640
USD_KRW,2016-05-20,1187.29000000
EUR_KRW,2016-05-20,1332.02000000
JPY_KRW,2016-05-20,10.75860000
XAU_USD,2016-05-20,1252.40002441
XAU_KRW,2016-05-20,1486962.02498175
USD_KRW,2016-05-23,1185.72000000
EUR_KRW,2016-05-23,1329.78000000
JPY_KRW,2016-05-23,10.83770000
XAU_USD,2016-05-23,1251.09997559
